alpha_4,alpha_5,alpha_sum,alpha_diff,M_GUT_GeV,1/alpha_GUT,tau_p_years,tau_p_uncertainty_OOM,w_0,theta_23_deg,m_KK_TeV,chi_squared
-1.0,-1.0,-2.0,0.0,1.26e+16,25.68,8.870588299802989e+33,1.1199999999999999,-0.8333333333333334,45.0,7.071067812042251,47.616659793662095
-1.0,-0.9,-1.9,-0.09999999999999998,1.287e+16,25.63,9.693425054865626e+33,1.1039999999999999,-0.8340248962655602,44.7,6.726812023722679,45.17952606871266
-1.0,-0.8,-1.8,-0.19999999999999996,1.314e+16,25.58,1.0574033019638463e+34,1.088,-0.8347107438016529,44.4,6.403124237628065,42.96148875690621
-1.0,-0.7,-1.7,-0.30000000000000004,1.341e+16,25.53,1.1515260403137861e+34,1.072,-0.8353909465020576,44.1,6.103277808071659,40.94553096010983
-1.0,-0.6,-1.6,-0.4,1.368e+16,25.48,1.25200430976876e+34,1.056,-0.8360655737704918,43.8,5.830951895059674,39.11266790314096
-1.0,-0.5,-1.5,-0.5,1.395e+16,25.43,1.3591406184410678e+34,1.04,-0.8367346938775511,43.5,5.590169943973081,37.4423158051047
-1.0,-0.3999999999999999,-1.4,-0.6000000000000001,1.422e+16,25.38,1.4732465464137797e+34,1.024,-0.8373983739837398,43.2,5.385164807366622,35.91306674840802
-1.0,-0.29999999999999993,-1.2999999999999998,-0.7000000000000001,1.449e+16,25.33,1.5946429014189118e+34,1.008,-0.8380566801619433,42.9,5.220153254694732,34.50396460722563
-1.0,-0.19999999999999996,-1.2,-0.8,1.476e+16,25.28,1.7236598771494949e+34,0.992,-0.8387096774193549,42.6,5.09901951383793,33.19628416625162
-1.0,-0.09999999999999998,-1.1,-0.9,1.503e+16,25.23,1.860637214253011e+34,0.976,-0.8393574297188755,42.3,5.024937810809204,31.975648795560915
-1.0,0.0,-1.0,-1.0,1.53e+16,25.18,2.005924364054581e+34,0.96,-0.84,42.0,5.00000000025,30.834123362285514
-1.0,0.10000000000000009,-0.8999999999999999,-1.1,1.557e+16,25.13,2.1598806550592645e+34,0.944,-0.8406374501992032,41.7,5.024937810809204,29.771790196189187
-1.0,0.20000000000000018,-0.7999999999999998,-1.2000000000000002,1.584e+16,25.08,2.3228754622837803e+34,0.9279999999999999,-0.8412698412698413,41.4,5.09901951383793,28.797369372300285
-1.0,0.30000000000000004,-0.7,-1.3,1.611e+16,25.03,2.4952883794689455e+34,0.9119999999999999,-0.841897233201581,41.1,5.220153254694732,27.927706214388916
-1.0,0.40000000000000013,-0.5999999999999999,-1.4000000000000001,1.638e+16,24.98,2.677509394225158e+34,0.8959999999999999,-0.84251968503937,40.8,5.385164807366624,27.18630356612019
-1.0,0.5,-0.5,-1.5,1.665e+16,24.93,2.869939066164242e+34,0.8800000000000001,-0.8431372549019608,40.5,5.590169943973081,26.601338018235143
-1.0,0.6000000000000001,-0.3999999999999999,-1.6,1.692e+16,24.88,3.072988708072083e+34,0.8640000000000001,-0.84375,40.2,5.830951895059674,26.203652727978657
-1.0,0.7000000000000002,-0.2999999999999998,-1.7000000000000002,1.719e+16,24.83,3.287080570177514e+34,0.8480000000000001,-0.8443579766536965,39.9,6.103277808071659,26.025090606059823
-1.0,0.8,-0.19999999999999996,-1.8,1.746e+16,24.78,3.5126480275740084e+34,0.8320000000000001,-0.8449612403100776,39.6,6.403124237628065,26.097332964902495
-1.0,0.9000000000000001,-0.09999999999999987,-1.9000000000000001,1.773e+16,24.73,3.7501357708519066e+34,0.8160000000000001,-0.8455598455598455,39.3,6.726812023722679,26.451241961432423
-1.0,1.0,0.0,-2.0,1.8e+16,24.68,4e+34,0.8,-0.8461538461538461,39.0,7.071067812042251,27.116612242118222
-0.9,-1.0,-1.9,0.09999999999999998,1.287e+16,25.63,9.693425054865626e+33,1.1039999999999999,-0.8340248962655602,45.3,6.726812023722679,44.519526068712665
-0.9,-0.9,-1.8,0.0,1.314e+16,25.58,1.0574033019638463e+34,1.088,-0.8347107438016529,45.0,6.3639610308753465,42.176886394046164
-0.9,-0.8,-1.7000000000000002,-0.09999999999999998,1.341e+16,25.53,1.1515260403137861e+34,1.072,-0.8353909465020576,44.7,6.020797289603761,40.059173811683266
-0.9,-0.7,-1.6,-0.20000000000000007,1.368e+16,25.48,1.25200430976876e+34,1.056,-0.8360655737704918,44.4,5.700877125714955,38.148079134536914
-0.9,-0.6,-1.5,-0.30000000000000004,1.395e+16,25.43,1.3591406184410678e+34,1.04,-0.8367346938775511,44.1,5.408326913427108,36.42245247310755
-0.9,-0.5,-1.4,-0.4,1.422e+16,25.38,1.4732465464137797e+34,1.024,-0.8373983739837398,43.8,5.147815070736321,34.85849029987469
-0.9,-0.3999999999999999,-1.2999999999999998,-0.5000000000000001,1.449e+16,25.33,1.5946429014189118e+34,1.008,-0.8380566801619433,43.5,4.924428901151889,33.43044855171126
-0.9,-0.29999999999999993,-1.2,-0.6000000000000001,1.476e+16,25.28,1.7236598771494949e+34,0.992,-0.8387096774193549,43.2,4.7434164905160925,32.11210079452173
-0.9,-0.19999999999999996,-1.1,-0.7000000000000001,1.503e+16,25.23,1.860637214253011e+34,0.976,-0.8393574297188755,42.9,4.609772228917606,30.879059495964697
-0.9,-0.09999999999999998,-1.0,-0.8,1.53e+16,25.18,2.005924364054581e+34,0.96,-0.84,42.6,4.527692569344787,29.711814232264178
-0.9,0.0,-0.9,-0.9,1.557e+16,25.13,2.1598806550592645e+34,0.944,-0.8406374501992032,42.3,4.500000000277778,28.598948154112044
-0.9,0.10000000000000009,-0.7999999999999999,-1.0,1.584e+16,25.08,2.3228754622837803e+34,0.9279999999999999,-0.8412698412698413,42.0,4.527692569344787,27.539667567012568
-0.9,0.20000000000000018,-0.6999999999999998,-1.1,1.611e+16,25.03,2.4952883794689455e+34,0.9119999999999999,-0.841897233201581,41.7,4.609772228917606,26.544801856163097
-0.9,0.30000000000000004,-0.6,-1.2000000000000002,1.638e+16,24.98,2.677509394225158e+34,0.8960000000000001,-0.84251968503937,41.4,4.7434164905160925,25.635919308798126
-0.9,0.40000000000000013,-0.4999999999999999,-1.3000000000000003,1.665e+16,24.93,2.869939066164242e+34,0.8800000000000001,-0.8431372549019608,41.1,4.92442890115189,24.842913753751695
-0.9,0.5,-0.4,-1.4,1.692e+16,24.88,3.072988708072083e+34,0.8640000000000001,-0.84375,40.8,5.147815070736321,24.200905261757107
-0.9,0.6000000000000001,-0.29999999999999993,-1.5,1.719e+16,24.83,3.287080570177514e+34,0.8480000000000001,-0.8443579766536965,40.5,5.40832691342711,23.74732052660484
-0.9,0.7000000000000002,-0.19999999999999984,-1.6,1.746e+16,24.78,3.5126480275740084e+34,0.8320000000000001,-0.8449612403100776,40.2,5.700877125714955,23.519692080424605
-0.9,0.8,-0.09999999999999998,-1.7000000000000002,1.773e+16,24.73,3.7501357708519066e+34,0.8160000000000001,-0.8455598455598455,39.9,6.020797289603761,23.55432299908646
-0.9,0.9000000000000001,1.1102230246251565e-16,-1.8000000000000003,1.8e+16,24.68,4e+34,0.8,-0.8461538461538461,39.6,6.3639610308753465,23.885699538536194
-0.9,1.0,0.09999999999999998,-1.9,1.827e+16,24.63,4.262708621636494e+34,0.784,-0.8467432950191571,39.3,6.726812023722679,24.546433170165265
-0.8,-1.0,-1.8,0.19999999999999996,1.314e+16,25.58,1.0574033019638463e+34,1.088,-0.8347107438016529,45.6,6.403124237628065,41.641488756906206
-0.8,-0.9,-1.7000000000000002,0.09999999999999998,1.341e+16,25.53,1.1515260403137861e+34,1.072,-0.8353909465020576,45.3,6.020797289603761,39.39917381168327
-0.8,-0.8,-1.6,0.0,1.368e+16,25.48,1.25200430976876e+34,1.056,-0.8360655737704918,45.0,5.656854249713351,37.39020495254572
-0.8,-0.7,-1.5,-0.10000000000000009,1.395e+16,25.43,1.3591406184410678e+34,1.04,-0.8367346938775511,44.7,5.315072906602505,35.59534951064286
-0.8,-0.6,-1.4,-0.20000000000000007,1.422e+16,25.38,1.4732465464137797e+34,1.024,-0.8373983739837398,44.4,5.00000000025,33.99147318754945
-0.8,-0.5,-1.3,-0.30000000000000004,1.449e+16,25.33,1.5946429014189118e+34,1.008,-0.8380566801619433,44.1,4.716990566293301,32.551359393433486
-0.8,-0.3999999999999999,-1.2,-0.40000000000000013,1.476e+16,25.28,1.7236598771494949e+34,0.992,-0.8387096774193549,43.8,4.472135955279088,31.24414373832526
-0.8,-0.29999999999999993,-1.1,-0.5000000000000001,1.503e+16,25.23,1.860637214253011e+34,0.976,-0.8393574297188755,43.5,4.2720018729513685,30.036796453779004
-0.8,-0.19999999999999996,-1.0,-0.6000000000000001,1.53e+16,25.18,2.005924364054581e+34,0.96,-0.84,43.2,4.12310562592083,28.89704242109594
-0.8,-0.09999999999999998,-0.9,-0.7000000000000001,1.557e+16,25.13,2.1598806550592645e+34,0.944,-0.8406374501992032,42.9,4.031128874459362,27.79773934611333
-0.8,0.0,-0.8,-0.8,1.584e+16,25.08,2.3228754622837803e+34,0.9280000000000002,-0.8412698412698413,42.6,4.0000000003125,26.72197669669016
-0.8,0.10000000000000009,-0.7,-0.9000000000000001,1.611e+16,25.03,2.4952883794689455e+34,0.9119999999999999,-0.841897233201581,42.3,4.031128874459362,25.66734030568346
-0.8,0.20000000000000018,-0.5999999999999999,-1.0000000000000002,1.638e+16,24.98,2.677509394225158e+34,0.8959999999999999,-0.84251968503937,42.0,4.12310562592083,24.647629064072046
-0.8,0.30000000000000004,-0.5,-1.1,1.665e+16,24.93,2.869939066164242e+34,0.8800000000000001,-0.8431372549019608,41.7,4.272001872951369,23.69126240885455
-0.8,0.40000000000000013,-0.3999999999999999,-1.2000000000000002,1.692e+16,24.88,3.072988708072083e+34,0.8640000000000001,-0.84375,41.4,4.4721359552790885,22.837140396771886
-0.8,0.5,-0.30000000000000004,-1.3,1.719e+16,24.83,3.287080570177514e+34,0.8480000000000001,-0.8443579766536965,41.1,4.716990566293301,22.12967043584078
-0.8,0.6000000000000001,-0.19999999999999996,-1.4000000000000001,1.746e+16,24.78,3.5126480275740084e+34,0.8320000000000001,-0.8449612403100776,40.8,5.00000000025,21.61451627048187
-0.8,0.7000000000000002,-0.09999999999999987,-1.5000000000000002,1.773e+16,24.73,3.7501357708519066e+34,0.8160000000000001,-0.8455598455598455,40.5,5.315072906602505,21.335807105593368
-0.8,0.8,0.0,-1.6,1.8e+16,24.68,4e+34,0.8,-0.8461538461538461,40.2,5.656854249713351,21.334786834927165
-0.8,0.9000000000000001,0.10000000000000009,-1.7000000000000002,1.827e+16,24.63,4.262708621636494e+34,0.784,-0.8467432950191571,39.9,6.020797289603761,21.6495142078193
-0.8,1.0,0.19999999999999996,-1.8,1.854e+16,24.58,4.538741449630566e+34,0.768,-0.8473282442748091,39.6,6.403124237628065,22.31518167305191
-0.7,-1.0,-1.7,0.30000000000000004,1.341e+16,25.53,1.1515260403137861e+34,1.072,-0.8353909465020576,45.9,6.103277808071659,38.965530960109824
-0.7,-0.9,-1.6,0.20000000000000007,1.368e+16,25.48,1.25200430976876e+34,1.056,-0.8360655737704918,45.6,5.700877125714955,36.82807913453691
-0.7,-0.8,-1.5,0.10000000000000009,1.395e+16,25.43,1.3591406184410678e+34,1.04,-0.8367346938775511,45.3,5.315072906602505,34.935349510642865
-0.7,-0.7,-1.4,0.0,1.422e+16,25.38,1.4732465464137797e+34,1.024,-0.8373983739837398,45.0,4.94974746855837,33.26786211185341
-0.7,-0.6,-1.2999999999999998,-0.09999999999999998,1.449e+16,25.33,1.5946429014189118e+34,1.008,-0.8380566801619433,44.7,4.609772228917606,31.80106024899981
-0.7,-0.5,-1.2,-0.19999999999999996,1.476e+16,25.28,1.7236598771494949e+34,0.992,-0.8387096774193549,44.4,4.301162633811932,30.504497006394608
-0.7,-0.3999999999999999,-1.0999999999999999,-0.30000000000000004,1.503e+16,25.23,1.860637214253011e+34,0.976,-0.8393574297188755,44.1,4.031128874459362,29.341597945485038
-0.7,-0.29999999999999993,-0.9999999999999999,-0.4,1.53e+16,25.18,2.005924364054581e+34,0.96,-0.84,43.8,3.8078865532602193,28.270747320729303
-0.7,-0.19999999999999996,-0.8999999999999999,-0.5,1.557e+16,25.13,2.1598806550592645e+34,0.944,-0.8406374501992032,43.5,3.6400549449836603,27.248645958229687
-0.7,-0.09999999999999998,-0.7999999999999999,-0.6,1.584e+16,25.08,2.3228754622837803e+34,0.9279999999999999,-0.8412698412698413,43.2,3.5355339062862905,26.23654021383429
-0.7,0.0,-0.7,-0.7,1.611e+16,25.03,2.4952883794689455e+34,0.9119999999999999,-0.841897233201581,42.9,3.500000000357142,25.20854911324566
-0.7,0.10000000000000009,-0.5999999999999999,-0.8,1.638e+16,24.98,2.677509394225158e+34,0.8959999999999999,-0.84251968503937,42.6,3.5355339062862905,24.159273522062005
-0.7,0.20000000000000018,-0.4999999999999998,-0.9000000000000001,1.665e+16,24.93,2.869939066164242e+34,0.8799999999999999,-0.8431372549019608,42.3,3.6400549449836603,23.106970512676945
-0.7,0.30000000000000004,-0.3999999999999999,-1.0,1.692e+16,24.88,3.072988708072083e+34,0.8640000000000001,-0.84375,42.0,3.8078865532602197,22.090512107875654
-0.7,0.40000000000000013,-0.2999999999999998,-1.1,1.719e+16,24.83,3.287080570177514e+34,0.8480000000000001,-0.8443579766536965,41.7,4.031128874459362,21.16190974092744
-0.7,0.5,-0.19999999999999996,-1.2,1.746e+16,24.78,3.5126480275740084e+34,0.8320000000000001,-0.8449612403100776,41.4,4.301162633811932,20.378121785891235
-0.7,0.6000000000000001,-0.09999999999999987,-1.3,1.773e+16,24.73,3.7501357708519066e+34,0.8160000000000001,-0.8455598455598455,41.1,4.609772228917606,19.7949608328603
-0.7,0.7000000000000002,2.220446049250313e-16,-1.4000000000000001,1.8e+16,24.68,4e+34,0.8,-0.8461538461538461,40.8,4.949747468558371,19.463874131279574
-0.7,0.8,0.10000000000000009,-1.5,1.827e+16,24.63,4.262708621636494e+34,0.784,-0.8467432950191571,40.5,5.315072906602505,19.430998314326207
-0.7,0.9000000000000001,0.20000000000000018,-1.6,1.854e+16,24.58,4.538741449630566e+34,0.768,-0.8473282442748091,40.2,5.700877125714955,19.73754078857402
-0.7,1.0,0.30000000000000004,-1.7,1.881e+16,24.53,4.828590409176937e+34,0.752,-0.8479087452471483,39.9,6.103277808071659,20.420741035127353
-0.6,-1.0,-1.6,0.4,1.368e+16,25.48,1.25200430976876e+34,1.056,-0.8360655737704918,46.2,5.830951895059674,36.47266790314095
-0.6,-0.9,-1.5,0.30000000000000004,1.395e+16,25.43,1.3591406184410678e+34,1.04,-0.8367346938775511,45.9,5.408326913427108,34.442452473107544
-0.6,-0.8,-1.4,0.20000000000000007,1.422e+16,25.38,1.4732465464137797e+34,1.024,-0.8373983739837398,45.6,5.00000000025,32.67147318754945
-0.6,-0.7,-1.2999999999999998,0.09999999999999998,1.449e+16,25.33,1.5946429014189118e+34,1.008,-0.8380566801619433,45.3,4.609772228917606,31.141060248999818
-0.6,-0.6,-1.2,0.0,1.476e+16,25.28,1.7236598771494949e+34,0.992,-0.8387096774193549,45.0,4.242640687413913,29.826367711583718
-0.6,-0.5,-1.1,-0.09999999999999998,1.503e+16,25.23,1.860637214253011e+34,0.976,-0.8393574297188755,44.7,3.9051248382734194,28.694620144507716
-0.6,-0.3999999999999999,-0.9999999999999999,-0.20000000000000007,1.53e+16,25.18,2.005924364054581e+34,0.96,-0.84,44.4,3.6055512758106767,27.703591346701785
-0.6,-0.29999999999999993,-0.8999999999999999,-0.30000000000000004,1.557e+16,25.13,2.1598806550592645e+34,0.944,-0.8406374501992032,44.1,3.3541019666223626,26.80138733921682
-0.6,-0.19999999999999996,-0.7999999999999999,-0.4,1.584e+16,25.08,2.3228754622837803e+34,0.9279999999999999,-0.8412698412698413,43.8,3.1622776605636638,25.929449565308744
-0.6,-0.09999999999999998,-0.7,-0.5,1.611e+16,25.03,2.4952883794689455e+34,0.9119999999999999,-0.841897233201581,43.5,3.041381265560107,25.03095215462935
-0.6,0.0,-0.6,-0.6,1.638e+16,24.98,2.677509394225158e+34,0.8960000000000001,-0.84251968503937,43.2,3.0000000004166663,24.064710004344956
-0.6,0.10000000000000009,-0.4999999999999999,-0.7000000000000001,1.665e+16,24.93,2.869939066164242e+34,0.8800000000000001,-0.8431372549019608,42.9,3.041381265560107,23.019675749506497
-0.6,0.20000000000000018,-0.3999999999999998,-0.8000000000000002,1.692e+16,24.88,3.072988708072083e+34,0.8640000000000001,-0.84375,42.6,3.162277660563664,21.92136101770671
-0.6,0.30000000000000004,-0.29999999999999993,-0.9,1.719e+16,24.83,3.287080570177514e+34,0.8480000000000001,-0.8443579766536965,42.3,3.3541019666223626,20.82555773403095
-0.6,0.40000000000000013,-0.19999999999999984,-1.0,1.746e+16,24.78,3.5126480275740084e+34,0.8320000000000001,-0.8449612403100776,42.0,3.605551275810677,19.803984254898136
-0.6,0.5,-0.09999999999999998,-1.1,1.773e+16,24.73,3.7501357708519066e+34,0.8160000000000001,-0.8455598455598455,41.7,3.9051248382734194,18.93052148140333
-0.6,0.6000000000000001,1.1102230246251565e-16,-1.2000000000000002,1.8e+16,24.68,4e+34,0.8,-0.8461538461538461,41.4,4.242640687413913,18.27296142757409
-0.6,0.7000000000000002,0.1000000000000002,-1.3000000000000003,1.827e+16,24.63,4.262708621636494e+34,0.784,-0.8467432950191571,41.1,4.609772228917607,17.890152041593144
-0.6,0.8,0.20000000000000007,-1.4,1.854e+16,24.58,4.538741449630566e+34,0.768,-0.8473282442748091,40.8,5.00000000025,17.83236497863129
-0.6,0.9000000000000001,0.30000000000000016,-1.5,1.881e+16,24.53,4.828590409176937e+34,0.752,-0.8479087452471483,40.5,5.40832691342711,18.14297095567237
-0.6,1.0,0.4,-1.6,1.908e+16,24.48,5.132759744387202e+34,0.736,-0.8484848484848485,40.2,5.830951895059674,18.86035102835741
-0.5,-1.0,-1.5,0.5,1.395e+16,25.43,1.3591406184410678e+34,1.04,-0.8367346938775511,46.5,5.590169943973081,34.142315805104694
-0.5,-0.9,-1.4,0.4,1.422e+16,25.38,1.4732465464137797e+34,1.024,-0.8373983739837398,46.2,5.147815070736321,32.21849029987468
-0.5,-0.8,-1.3,0.30000000000000004,1.449e+16,25.33,1.5946429014189118e+34,1.008,-0.8380566801619433,45.9,4.716990566293301,30.571359393433493
-0.5,-0.7,-1.2,0.19999999999999996,1.476e+16,25.28,1.7236598771494949e+34,0.992,-0.8387096774193549,45.6,4.301162633811932,29.184497006394604
-0.5,-0.6,-1.1,0.09999999999999998,1.503e+16,25.23,1.860637214253011e+34,0.976,-0.8393574297188755,45.3,3.9051248382734194,28.034620144507723
-0.5,-0.5,-1.0,0.0,1.53e+16,25.18,2.005924364054581e+34,0.96,-0.84,45.0,3.5355339062862914,27.088686879085905
-0.5,-0.3999999999999999,-0.8999999999999999,-0.10000000000000009,1.557e+16,25.13,2.1598806550592645e+34,0.944,-0.8406374501992032,44.7,3.2015621191068586,26.300356500552088
-0.5,-0.29999999999999993,-0.7999999999999999,-0.20000000000000007,1.584e+16,25.08,2.3228754622837803e+34,0.9279999999999999,-0.8412698412698413,44.4,2.9154759478513963,25.60685898522621
-0.5,-0.19999999999999996,-0.7,-0.30000000000000004,1.611e+16,25.03,2.4952883794689455e+34,0.9119999999999999,-0.841897233201581,44.1,2.6925824040314907,24.92934589303674
-0.5,-0.09999999999999998,-0.6,-0.4,1.638e+16,24.98,2.677509394225158e+34,0.8960000000000001,-0.84251968503937,43.8,2.5495097572866827,24.182406341559876
-0.5,0.0,-0.5,-0.5,1.665e+16,24.93,2.869939066164242e+34,0.8800000000000001,-0.8431372549019608,43.5,2.5000000005,23.297272707337086
-0.5,0.10000000000000009,-0.3999999999999999,-0.6000000000000001,1.692e+16,24.88,3.072988708072083e+34,0.8640000000000001,-0.84375,43.2,2.5495097572866827,22.251584485730106
-0.5,0.20000000000000018,-0.2999999999999998,-0.7000000000000002,1.719e+16,24.83,3.287080570177514e+34,0.8480000000000001,-0.8443579766536965,42.9,2.692582404031491,21.083915328280742
-0.5,0.30000000000000004,-0.19999999999999996,-0.8,1.746e+16,24.78,3.5126480275740084e+34,0.8320000000000001,-0.8449612403100776,42.6,2.9154759478513967,19.879398558674175
-0.5,0.40000000000000013,-0.09999999999999987,-0.9000000000000001,1.773e+16,24.73,3.7501357708519066e+34,0.8160000000000001,-0.8455598455598455,42.3,3.2015621191068595,18.740116436819424
-0.5,0.5,0.0,-1.0,1.8e+16,24.68,4e+34,0.8,-0.8461538461538461,42.0,3.5355339062862914,17.762048723776
-0.5,0.6000000000000001,0.10000000000000009,-1.1,1.827e+16,24.63,4.262708621636494e+34,0.784,-0.8467432950191571,41.7,3.90512483827342,17.025712690136167
-0.5,0.7000000000000002,0.20000000000000018,-1.2000000000000002,1.854e+16,24.58,4.538741449630566e+34,0.768,-0.8473282442748091,41.4,4.301162633811933,16.595970494040653
-0.5,0.8,0.30000000000000004,-1.3,1.881e+16,24.53,4.828590409176937e+34,0.752,-0.8479087452471483,41.1,4.716990566293301,16.525320864908313
-0.5,0.9000000000000001,0.40000000000000013,-1.4000000000000001,1.908e+16,24.48,5.132759744387202e+34,0.736,-0.8484848484848485,40.8,5.147815070736322,16.85760356213586
-0.5,1.0,0.5,-1.5,1.935e+16,24.43,5.451766229462778e+34,0.7200000000000001,-0.8490566037735849,40.5,5.590169943973081,17.631070062149412
-0.3999999999999999,-1.0,-1.4,0.6000000000000001,1.422e+16,25.38,1.4732465464137797e+34,1.024,-0.8373983739837398,46.8,5.385164807366622,31.953066748408023
-0.3999999999999999,-0.9,-1.2999999999999998,0.5000000000000001,1.449e+16,25.33,1.5946429014189118e+34,1.008,-0.8380566801619433,46.5,4.924428901151889,30.13044855171126
-0.3999999999999999,-0.8,-1.2,0.40000000000000013,1.476e+16,25.28,1.7236598771494949e+34,0.992,-0.8387096774193549,46.2,4.472135955279088,28.604143738325252
-0.3999999999999999,-0.7,-1.0999999999999999,0.30000000000000004,1.503e+16,25.23,1.860637214253011e+34,0.976,-0.8393574297188755,45.9,4.031128874459362,27.361597945485038
-0.3999999999999999,-0.6,-0.9999999999999999,0.20000000000000007,1.53e+16,25.18,2.005924364054581e+34,0.96,-0.84,45.6,3.6055512758106767,26.38359134670178
-0.3999999999999999,-0.5,-0.8999999999999999,0.10000000000000009,1.557e+16,25.13,2.1598806550592645e+34,0.944,-0.8406374501992032,45.3,3.2015621191068586,25.640356500552095
-0.3999999999999999,-0.3999999999999999,-0.7999999999999998,0.0,1.584e+16,25.08,2.3228754622837803e+34,0.9279999999999999,-0.8412698412698413,45.0,2.828427125188131,25.08562750987417
-0.3999999999999999,-0.29999999999999993,-0.6999999999999998,-0.09999999999999998,1.611e+16,25.03,2.4952883794689455e+34,0.9119999999999999,-0.841897233201581,44.7,2.500000000499999,24.648549112459936
-0.3999999999999999,-0.19999999999999996,-0.5999999999999999,-0.19999999999999996,1.638e+16,24.98,2.677509394225158e+34,0.8959999999999999,-0.84251968503937,44.4,2.2360679780588057,24.22633612731317
-0.3999999999999999,-0.09999999999999998,-0.4999999999999999,-0.29999999999999993,1.665e+16,24.93,2.869939066164242e+34,0.8800000000000001,-0.8431372549019608,44.1,2.0615528134151693,23.68873223630365
-0.3999999999999999,0.0,-0.3999999999999999,-0.3999999999999999,1.692e+16,24.88,3.072988708072083e+34,0.8640000000000001,-0.84375,43.8,2.0000000006249996,22.91388814736937
-0.3999999999999999,0.10000000000000009,-0.2999999999999998,-0.5,1.719e+16,24.83,3.287080570177514e+34,0.8480000000000001,-0.8443579766536965,43.5,2.0615528134151693,21.854578076670506
-0.3999999999999999,0.20000000000000018,-0.19999999999999973,-0.6000000000000001,1.746e+16,24.78,3.5126480275740084e+34,0.8320000000000001,-0.8449612403100776,43.2,2.2360679780588066,20.576142392533416
-0.3999999999999999,0.30000000000000004,-0.09999999999999987,-0.7,1.773e+16,24.73,3.7501357708519066e+34,0.8160000000000001,-0.8455598455598455,42.9,2.500000000499999,19.218708089157147
-0.3999999999999999,0.40000000000000013,2.220446049250313e-16,-0.8,1.8e+16,24.68,4e+34,0.8,-0.8461538461538461,42.6,2.828427125188132,17.931136019815874
-0.3999999999999999,0.5,0.10000000000000009,-0.8999999999999999,1.827e+16,24.63,4.262708621636494e+34,0.784,-0.8467432950191571,42.3,3.2015621191068586,16.835307645552266
-0.3999999999999999,0.6000000000000001,0.20000000000000018,-1.0,1.854e+16,24.58,4.538741449630566e+34,0.768,-0.8473282442748091,42.0,3.605551275810677,16.021832963047554
-0.3999999999999999,0.7000000000000002,0.30000000000000027,-1.1,1.881e+16,24.53,4.828590409176937e+34,0.752,-0.8479087452471483,41.7,4.031128874459362,15.557560169994975
-0.3999999999999999,0.8,0.40000000000000013,-1.2,1.908e+16,24.48,5.132759744387202e+34,0.736,-0.8484848484848485,41.4,4.472135955279088,15.493838697150641
-0.3999999999999999,0.9000000000000001,0.5000000000000002,-1.3,1.935e+16,24.43,5.451766229462778e+34,0.72,-0.8490566037735849,41.1,4.92442890115189,15.87264579766596
-0.3999999999999999,1.0,0.6000000000000001,-1.4,1.962e+16,24.38,5.786139383515881e+34,0.7040000000000001,-0.849624060150376,40.8,5.385164807366622,16.730648694109096
-0.29999999999999993,-1.0,-1.2999999999999998,0.7000000000000001,1.449e+16,25.33,1.5946429014189118e+34,1.008,-0.8380566801619433,47.1,5.220153254694732,29.883964607225625
-0.29999999999999993,-0.9,-1.2,0.6000000000000001,1.476e+16,25.28,1.7236598771494949e+34,0.992,-0.8387096774193549,46.8,4.7434164905160925,28.15210079452173
-0.29999999999999993,-0.8,-1.1,0.5000000000000001,1.503e+16,25.23,1.860637214253011e+34,0.976,-0.8393574297188755,46.5,4.2720018729513685,26.736796453779
-0.29999999999999993,-0.7,-0.9999999999999999,0.4,1.53e+16,25.18,2.005924364054581e+34,0.96,-0.84,46.2,3.8078865532602193,25.630747320729295
-0.29999999999999993,-0.6,-0.8999999999999999,0.30000000000000004,1.557e+16,25.13,2.1598806550592645e+34,0.944,-0.8406374501992032,45.9,3.3541019666223626,24.82138733921682
-0.29999999999999993,-0.5,-0.7999999999999999,0.20000000000000007,1.584e+16,25.08,2.3228754622837803e+34,0.9279999999999999,-0.8412698412698413,45.6,2.9154759478513963,24.286858985226207
